,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w
8,Action_MWUGHONQ,Grasping,1600346020.335711,1600346020.8599596,0.5242486000061035,False,CRAMGripperClosedCompletely,Action_DRFYXZIW,,,milk_1,, :LEFT,Front,,,8,Action_MWUGHONQ,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
1,Action_NPBXEJSQ,Grasping,1600356426.4674196,1600356426.914847,0.44742751121521,False,CRAMGripperClosedCompletely,Action_TKJGCWSB,,,milk_1,, :LEFT,Front,,,1,Action_NPBXEJSQ,0.7999997456868491,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6329402327537537,0.7742006778717041
3,Action_VGHEYPJI,Grasping,1600356450.3346422,1600356450.8484352,0.5137929916381836,True,,Action_RGUEOBIS,,,milk_1,, :LEFT,Front,,,3,Action_VGHEYPJI,0.2447224299112956,-1.329937489827474,3.814697266402156e-09,0.0,0.0,0.024855665862560272,0.9996910691261292
4,Action_HGMDTYUW,Grasping,1600356404.3937721,1600356404.8746529,0.4808807373046875,False,CRAMGripperClosedCompletely,Action_JKNTRHFZ,,,milk_1,, :LEFT,Front,,,4,Action_HGMDTYUW,0.7999997456868491,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6329402327537537,0.7742006778717041
5,Action_ETOZISHY,Grasping,1600356436.2114697,1600356436.717987,0.5065176486968994,False,CRAMGripperClosedCompletely,Action_GUPNRJFD,,,milk_1,, :LEFT,Front,,,5,Action_ETOZISHY,0.7999997456868491,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6329402327537537,0.7742006778717041
6,Action_JOZSQYBG,Grasping,1600356413.1196663,1600356413.5553982,0.4357316493988037,False,CRAMGripperClosedCompletely,Action_RNMOJHUF,,,milk_1,, :LEFT,Front,,,6,Action_JOZSQYBG,0.7999997456868491,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6329402327537537,0.7742006778717041
0,Action_KBIHVGLF,Grasping,1600396276.0668485,1600396276.7731817,0.7063333988189697,True,,Action_QFXJPRZM,,,milk_1,, :LEFT,Front,,,0,Action_KBIHVGLF,0.32838188807169594,-1.0948699951171874,3.814697266402156e-09,0.0,0.0,-0.16015614569187164,0.9870916604995728
2,Action_TJSERYFX,Grasping,1600396201.1035235,1600396201.7487588,0.6452353000640869,False,CRAMGripperClosedCompletely,Action_TWNFSHEU,,,milk_1,, :LEFT,Front,,,2,Action_TJSERYFX,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
3,Action_NGYCKIQX,Grasping,1600396159.049431,1600396159.5723817,0.5229506492614746,False,CRAMGripperClosedCompletely,Action_PQTWRLKB,,,milk_1,, :LEFT,Front,,,3,Action_NGYCKIQX,0.7999997456868491,-0.3600001335144043,3.814697266402156e-09,0.0,0.0,-0.6437739133834839,0.7652157545089722
4,Action_IKCEHVMW,Grasping,1600396215.2941349,1600396215.9439762,0.64984130859375,False,CRAMGripperClosedCompletely,Action_MFNXKWSV,,,milk_1,, :LEFT,Front,,,4,Action_IKCEHVMW,0.7599997202555339,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6121619343757629,0.7907323837280273
5,Action_XZMRGCLP,Grasping,1600396253.1189642,1600396253.7321644,0.6132001876831055,False,CRAMGripperClosedCompletely,Action_JDBRHOGW,,,milk_1,, :LEFT,Front,,,5,Action_XZMRGCLP,0.07999992370605469,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2484427988529205,0.9686465859413148
6,Action_DUCVGMJW,Grasping,1600396174.5228975,1600396175.0407393,0.5178418159484863,False,CRAMGripperClosedCompletely,Action_WMPDSQYC,,,milk_1,, :LEFT,Front,,,6,Action_DUCVGMJW,0.7999997456868491,-0.3600001335144043,3.814697266402156e-09,0.0,0.0,-0.6437739133834839,0.7652157545089722
7,Action_ZTQXLJFG,Grasping,1600396227.0778875,1600396227.775136,0.6972484588623047,False,CRAMGripperClosedCompletely,Action_QROLSIXN,,,milk_1,, :LEFT,Front,,,7,Action_ZTQXLJFG,0.7599997202555339,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6121619343757629,0.7907323837280273
8,Action_XVSQHNBI,Grasping,1600396242.2900524,1600396242.8558295,0.5657773017883301,False,CRAMGripperClosedCompletely,Action_HPBZOKWX,,,milk_1,, :LEFT,Front,,,8,Action_XVSQHNBI,0.07999992370605469,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2484427988529205,0.9686465859413148
9,Action_DJSCKTRG,Grasping,1600396189.7062695,1600396190.2775338,0.5712642669677734,False,CRAMGripperClosedCompletely,Action_IXZQTVKH,,,milk_1,, :LEFT,Front,,,9,Action_DJSCKTRG,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
0,Action_KZDETWCB,Grasping,1600347552.715326,1600347553.230215,0.5148890018463135,True,,Action_FTBGQHJP,,,milk_1,, :LEFT,Front,,,0,Action_KZDETWCB,0.2714244842529297,-1.1220595041910808,3.814697266402156e-09,0.0,0.0,-0.1276307851076126,0.9918217658996582
1,Action_SMTRIPFQ,Grasping,1600334914.8385804,1600334915.418812,0.5802314281463623,True,,Action_UVIRMQXG,,,milk_1,, :LEFT,Front,,,1,Action_SMTRIPFQ,0.29593372344970703,-1.1370609283447266,3.814697266402156e-09,0.0,0.0,-0.1212238147854805,0.9926252365112304
0,Action_QNCWGYLU,Grasping,1600368839.073417,1600368839.580295,0.5068781375885011,True,,Action_RFMISHOT,,,milk_1,, :LEFT,Front,,,0,Action_QNCWGYLU,0.4817055066426595,-0.9222412745157876,3.814697266402156e-09,0.0,0.0,-0.4409050941467285,0.8975537419319153
0,Action_WVDKGJIX,Grasping,1600346532.0894306,1600346532.676267,0.5868363380432129,False,CRAMGripperClosedCompletely,Action_LRSDNOEK,,,milk_1,, :LEFT,Front,,,0,Action_WVDKGJIX,0.6799997965494792,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.5632646679878235,0.8262765407562256
2,Action_RPWUZYIH,Grasping,1600346578.2496295,1600346579.0120587,0.7624292373657227,False,CRAMGripperClosedCompletely,Action_RWYSPBFJ,,,milk_1,, :LEFT,Front,,,2,Action_RPWUZYIH,0.6799997965494792,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.5632646679878235,0.8262765407562256
3,Action_WNHYRUZV,Grasping,1600346544.1780107,1600346544.8543582,0.6763474941253662,False,CRAMGripperClosedCompletely,Action_TERCOSDI,,,milk_1,, :LEFT,Front,,,3,Action_WNHYRUZV,0.6799997965494792,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.5632646679878235,0.8262765407562256
4,Action_ZPWTIOMS,Grasping,1600346597.5555394,1600346598.2306373,0.6750979423522949,True,,Action_YVTOWDHE,,,milk_1,, :LEFT,Front,,,4,Action_ZPWTIOMS,0.250040070215861,-1.2290538787841796,3.814697266402156e-09,0.0,0.0,-0.04758815467357636,0.9988670349121094
5,Action_WPSOTCDE,Grasping,1600346564.7131765,1600346565.3601758,0.6469993591308594,False,CRAMGripperClosedCompletely,Action_KLDHQBNS,,,milk_1,, :LEFT,Front,,,5,Action_WPSOTCDE,0.6799997965494792,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.5632646679878235,0.8262765407562256
2,Action_YPILGZSU,Grasping,1600366937.593176,1600366938.0710135,0.4778375625610352,True,,Action_YHBZGUEN,,,milk_1,, :LEFT,Front,,,2,Action_YPILGZSU,0.2994973182678223,-1.1300122578938805,3.814697266402156e-09,0.0,0.0,-0.0501243956387043,0.9987429976463318
0,Action_JFXIYEWC,Grasping,1600372293.8123472,1600372294.409107,0.5967600345611572,False,CRAMGripperClosedCompletely,Action_WCFEGTZS,,,milk_1,, :LEFT,Front,,,0,Action_JFXIYEWC,0.15999984741210938,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2687176764011383,0.9632189869880676
1,Action_NYDLJQOU,Grasping,1600372342.169831,1600372342.7567668,0.5869357585906982,True,,Action_XQPTKRVJ,,,milk_1,, :LEFT,Front,,,1,Action_NYDLJQOU,0.3081841468811035,-1.0632945378621421,3.814697266402156e-09,0.0,0.0,-0.25539523363113403,0.9668367505073548
